"design_key","game_id","rgb_r","rgb_g","rgb_b","macro_region","draw_batch","new_name_zh","new_name_en","internal_key_hint","parent_id","parent_definition_name","parent_history_name","parent_area","parent_tax","parent_production","parent_manpower","retained_name_zh","retained_tax","retained_production","retained_manpower","new_tax","new_production","new_manpower","split_group","group_dev_delta","proposed_owner","claims_or_uncertainty","status","rationale"
"S-55","5018","60","200","165","south_china","B11","宿迁","Suqian","zhx_suqian_jiangsu","2142","Huai'an","Huai'an","xuhuai_haizhou_area","4","5","2","淮安","4","5","2","3","2","2","p2142-northjiangsu","14","徐淮","以骆马湖、黄运河故道为骨架","geometry_drawn_assets_ready","运河宿站、湖泊与农牧交错腹地。"
"S-56","5019","155","105","230","south_china","B11","清河","Qinghe","zhx_qinghe_jiangsu","2142","Huai'an","Huai'an","xuhuai_haizhou_area","4","5","2","淮安","4","5","2","2","3","2","p2142-northjiangsu","14","淮扬","并回淮安，不再作为独立省份","retired_merged","降低苏北省份密度；清河作为淮安内部漕运节点保留。"
"S-57","5020","225","155","55","south_china","B11","盐城","Yancheng","zhx_yancheng_jiangsu","4196","Haizhou","Haizhou","xuhuai_haizhou_area","2","3","2","海州","2","3","2","2","4","2","p4196-northjiangsu","8","淮扬","依海岸盐场与串场河划界","geometry_drawn_assets_ready","黄海盐场、滩涂与串场河运输带。"
"S-58","5021","70","180","230","south_china","B11","高邮","Gaoyou","zhx_gaoyou_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","3","2","p685-b","26","淮扬盟","以高邮湖和运河中轴划界","geometry_drawn_assets_ready","湖荡农业和京杭运河节点。"
"S-59","5022","215","80","95","south_china","B11","通州","Tongzhou","zhx_tongzhou_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","4","2","p685-b","26","淮扬盟","沿长江北汊与海门沙洲划界","geometry_drawn_assets_ready","江海门户与棉布生产地。"
"S-60","5023","105","205","80","south_china","B11","如皋","Rugao","zhx_rugao_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","3","2","p685-b","26","淮扬盟","依通扬运河和沿江圩田划界","geometry_drawn_assets_ready","长江北岸的粮棉腹地。"
"S-61","5024","200","120","45","south_china","B11","常州","Changzhou","zhx_changzhou_jiangsu","2145","Zhenjiang","Zhenjiang","jinling_wuhui_area","4","4","2","镇江","4","4","2","4","5","2","p2145-southjiangsu","11","吴","沿运河与茅山—太湖西缘划界","geometry_drawn_assets_ready","运河工商业、粮桑和太湖西岸节点。"
"S-62","5025","55","145","215","south_china","B11","无锡","Wuxi","zhx_wuxi_jiangsu","1822","Shangai","Suzhou","jinling_wuhui_area","9","9","2","苏州","5","6","2","3","4","2","p1822-b","13","吴","以太湖水网与望虞河方向划界","geometry_drawn_assets_ready","太湖粮桑、运河市镇与手工业中心。"
"S-63","5029","115","75","50","south_china","B08","台湾山脉","Taiwan Mountains","zhx_taiwan_mountains","2155","Middag","Middag","taiwan_area","0","0","0","台湾山脉","0","0","0","0","0","0","p-taiwan-mountains","0","不可通行地形","中央山脉荒地，不属于任何国家","geometry_drawn_assets_ready","以中央山脉形成不可通行屏障，五个台湾省沿海岸环绕。"
"N-17","5045","41","159","207","north_china","B14","孟津","Mengjin","zhx_mengjin_henan","1836","Nanyang","Luoyang","chengzhou_area","5","5","3","洛阳","7","7","4","3","4","2","p1836-chengzhou","30","大周王畿","黄河渡口","geometry_drawn_assets_ready","成周北门、河阳粮运与黄河渡口。"
"N-18","5046","173","73","194","north_china","B14","偃师","Yanshi","zhx_yanshi_henan","1836","Nanyang","Luoyang","chengzhou_area","5","5","3","洛阳","7","7","4","3","3","2","p1836-chengzhou","30","大周王畿","成周故城与礼器工坊","geometry_drawn_assets_ready","沿伊洛河谷分出成周故城、王室工坊与东京驿路。"
"N-19","5047","23","186","116","north_china","B14","卫辉","Weihui","zhx_weihui_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","4","4","2","p692-hebei","32","魏公国","周赵均有边境影响","geometry_drawn_assets_ready","太行山东麓与黄河北岸的卫辉平原。"
"N-20","5048","209","92","66","north_china","B14","彰德","Zhangde","zhx_zhangde_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","5","5","2","p692-hebei","32","赵公国","魏赵争议边界","geometry_drawn_assets_ready","漳洹河谷、冶铁与北部军事门户。"
"N-21","5049","117","176","219","north_china","B14","滑州","Huazhou","zhx_huazhou_henan","692","Handan","Huaiqing","hebei_zhangwei_area","3","3","2","怀庆","4","4","2","3","4","1","p692-hebei","32","魏公国","黄河故道与周国接壤","geometry_drawn_assets_ready","黄河北岸牧地、渡口与东京北面的缓冲地。"
"N-22","5050","222","166","47","north_china","B14","睢州","Suizhou","zhx_suizhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","3","3","1","p2176-shangsong","34","商宋","齐鲁与淮北通道","geometry_drawn_assets_ready","商宋东部门户、睢水沿岸牲畜与粮运。"
"N-23","5051","126","69","213","north_china","B14","陈州","Chenzhou (Henan)","zhx_chenzhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","4","4","2","p2176-shangsong","34","商宋","蔡国保留宣称","geometry_drawn_assets_ready","陈蔡平原、淮河以北粮仓与南北驿路。"
"N-24","5052","63","194","179","north_china","B14","许州","Xuzhou (Henan)","zhx_xuzhou_henan","2176","Shangqiu","Guide","guide_xuchen_area","3","3","2","归德","5","6","2","5","5","2","p2176-shangsong","34","商宋","周国与蔡国均有宣称","geometry_drawn_assets_ready","东京南面的布业市镇与中原南北交通节点。"
"N-25","5053","201","120","171","north_china","B14","汝州","Ruzhou","zhx_ruzhou_henan","687","Running","Nanyang","runing_nanyang_area","3","3","2","南阳","6","6","3","3","3","2","p687-rucai","25","蔡国","周国西南边界","geometry_drawn_assets_ready","伏牛山东麓铁矿、山前道路与成周南门。"
"N-26","5054","87","109","203","north_china","B14","汝宁","Runing","zhx_cai_henan","2175","Runing","Xinyang","runing_nanyang_area","3","3","2","信阳","3","4","2","5","5","2","p2175-huai","13","蔡国","淮河北岸","geometry_drawn_assets_ready","蔡州旧地、淮河北岸粮仓与可通行淮河渡口。"
"N-27","5055","149","190","68","north_china","B14","邓州","Dengzhou","zhx_dengzhou_henan","687","Running","Nanyang","runing_nanyang_area","3","3","2","南阳","6","6","3","4","4","2","p687-rucai","25","申公国","荆楚北缘","geometry_drawn_assets_ready","南阳盆地西南部牲畜、驿路与襄邓通道。"
"S-64","5056","130","104","198","south_china","B15","江宁","Jiangning","zhx_jiangning_yingtian","1821","Nanjing","Nanjing","yingtian_area","7","8","4","六合","2","2","1","7","8","4","p1821-yingtian","10","吴","原版南京全部属性迁移至江宁","geometry_drawn_assets_ready","长江南岸的应天府城与秦淮河口，承接原南京省份的城市、要塞、丝绸与发展度。"
"S-65","5057","146","158","175","south_china","B15","溧水","Lishui (Jiangsu)","zhx_lishui_yingtian","1821","Nanjing","Nanjing","yingtian_area","7","8","4","六合","2","2","1","2","2","1","p1821-yingtian","10","吴","与江宁、六合共组应天区域","geometry_drawn_assets_ready","应天府南部丘陵、秦淮河源区与茶粮产地。"
"S-66","5058","68","138","214","south_china","B16","亳州","Bozhou (Anhui)","zhx_bozhou_anhui","2144","Fuyang","Yingzhou","huaiying_area","2","2","1","颍州","4","4","2","3","3","2","p2144-huaiying","24","商宋","蔡国保留影响","geometry_drawn_assets_ready","淮北平原西北门户，以牲畜表现药材、集市与旱作经济。"
"S-67","5059","45","105","185","south_china","B16","寿州","Shouzhou","zhx_shouzhou_anhui","2144","Fuyang","Yingzhou","huaiying_area","2","2","1","颍州","4","4","2","4","4","3","p2144-huaiying","24","蔡国","淮河南岸要塞与一级商埠","geometry_drawn_assets_ready","寿春古城控制淮河中游渡口，是淮颍区域的军事与贸易核心。"
"S-68","5060","226","127","54","south_china","B16","六安","Lu'an","zhx_luan_anhui","1838","Hefei","Luzhou","jianghuai_area","4","4","3","庐州","4","5","2","3","3","3","p1838-jianghuai","26","舒侯国","大别山东麓","geometry_drawn_assets_ready","江淮西门与茶山军镇，连接寿春、庐州和大别山。"
"S-69","5061","232","181","97","south_china","B16","巢湖","Chaohu","zhx_chaohu_anhui","1838","Hefei","Luzhou","jianghuai_area","4","4","3","庐州","4","5","2","3","4","2","p1838-jianghuai","26","舒侯国","巢湖水面以省份经济抽象表现","geometry_drawn_assets_ready","庐州以东、无为以北的湖运和渔业节点，并接触长江航道。"
"S-70","5062","244","187","122","south_china","B16","无为","Wuwei","zhx_wuwei_anhui","1838","Hefei","Luzhou","wanjiang_area","4","4","3","庐州","4","5","2","3","3","2","p1838-jianghuai","26","舒侯国","吴国争夺","geometry_drawn_assets_ready","巢湖与长江之间的圩田粮仓，作为皖江北岸腹地。"
"S-71","5063","230","142","76","south_china","B16","滁州","Chuzhou (Anhui)","zhx_chuzhou_anhui","2143","Fengyang","Fengyang","jianghuai_area","2","1","1","凤阳","3","3","2","3","3","2","p2143-eastjianghuai","20","徐侯国","南京与凤阳之间的争夺地","geometry_drawn_assets_ready","江淮东缘丘陵和应天西北屏障。"
"S-72","5064","239","169","99","south_china","B16","和州","Hezhou (Anhui)","zhx_hezhou_anhui","2143","Fengyang","Fengyang","jianghuai_area","2","1","1","凤阳","3","3","2","3","3","2","p2143-eastjianghuai","20","舒侯国","吴国与徐国均有影响","geometry_drawn_assets_ready","淮河以南、长江以北的江淮交通节点。"
"S-73","5065","103","188","132","south_china","B16","池州","Chizhou","zhx_chizhou_anhui","686","Anqing","Anqing","wanjiang_area","6","6","2","安庆","5","5","3","3","4","2","p686-wanjiang","8","吴","楚国保留争夺","geometry_drawn_assets_ready","长江南岸矿业、山货与九华山交通中心。"
"S-74","5067","190","91","163","south_china","B16","太平","Taiping (Anhui)","zhx_taiping_anhui","2147","Huizhou","Huizhou","huining_area","5","4","3","徽州","4","5","2","3","3","2","p2147-huining","7","吴","皖江与徽州之间的山口","geometry_drawn_assets_ready","黄山北麓茶区，连接池州、宁国与徽州。"
"S-75","5068","128","199","148","south_china","B16","广德","Guangde","zhx_guangde_anhui","2146","Ningguo","Ningguo","huining_area","3","3","3","宁国","3","4","2","3","3","2","p2146-huining","20","吴","越国保留东部影响","geometry_drawn_assets_ready","天目山西缘竹木产地和吴越边境通道。"
